timestamp,latitude,longitude,altitude,radar_distance
2024-03-09T10:00:00,48.7758,9.1829,100,80
2024-03-09T10:01:00,48.7760,9.1831,95,75
2024-03-09T10:02:00,48.7763,9.1833,120,85
2024-03-09T10:03:00,48.7765,9.1836,110,90
2024-03-09T10:04:00,48.7767,9.1839,100,95
2024-03-09T10:05:00,48.7769,9.1842,130,100
2024-03-09T10:06:00,48.7771,9.1845,150,105
2024-03-09T10:07:00,48.7773,9.1847,140,110
2024-03-09T10:08:00,48.7775,9.1850,135,115
2024-03-09T10:09:00,48.7777,9.1853,160,120
2024-03-09T10:10:00,48.7779,9.1856,155,125
2024-03-09T10:11:00,48.7781,9.1859,165,130
2024-03-09T10:12:00,48.7783,9.1862,170,135
2024-03-09T10:13:00,48.7785,9.1865,180,140
2024-03-09T10:14:00,48.7787,9.1868,175,145
2024-03-09T10:15:00,48.7789,9.1871,185,150
2024-03-09T10:16:00,48.7791,9.1874,190,155
2024-03-09T10:17:00,48.7793,9.1877,200,160
2024-03-09T10:18:00,48.7795,9.1880,195,165
2024-03-09T10:19:00,48.7797,9.1883,180,160
2024-03-09T10:20:00,48.7799,9.1886,170,155
2024-03-09T10:21:00,48.7801,9.1889,160,150
2024-03-09T10:22:00,48.7803,9.1892,150,145
2024-03-09T10:23:00,48.7805,9.1895,140,140
2024-03-09T10:24:00,48.7807,9.1898,130,135
2024-03-09T10:25:00,48.7809,9.1901,120,130
2024-03-09T10:26:00,48.7811,9.1904,110,125
2024-03-09T10:27:00,48.7813,9.1907,100,120
2024-03-09T10:28:00,48.7815,9.1910,90,115
2024-03-09T10:29:00,48.7817,9.1913,85,110
2024-03-09T10:30:00,48.7819,9.1916,95,105
2024-03-09T10:31:00,48.7821,9.1919,100,100
2024-03-09T10:32:00,48.7823,9.1922,110,95
2024-03-09T10:33:00,48.7825,9.1925,120,90
2024-03-09T10:34:00,48.7827,9.1928,130,85
2024-03-09T10:35:00,48.7829,9.1931,140,80
2024-03-09T10:36:00,48.7831,9.1934,150,75
2024-03-09T10:37:00,48.7833,9.1937,160,70
2024-03-09T10:38:00,48.7835,9.1940,170,65
2024-03-09T10:39:00,48.7837,9.1943,180,60
2024-03-09T10:40:00,48.7839,9.1946,190,55
2024-03-09T10:41:00,48.7841,9.1949,200,50
2024-03-09T10:42:00,48.7843,9.1952,210,45
2024-03-09T10:43:00,48.7845,9.1955,220,40
2024-03-09T10:44:00,48.7847,9.1958,230,35
2024-03-09T10:45:00,48.7849,9.1961,240,30
2024-03-09T10:46:00,48.7851,9.1964,250,25
2024-03-09T10:47:00,48.7853,9.1967,260,20
2024-03-09T10:48:00,48.7855,9.1970,270,15
2024-03-09T10:49:00,48.7857,9.1973,280,10
2024-03-09T10:50:00,48.7859,9.1976,290,5
2024-03-09T10:51:00,48.7861,9.1979,300,0
2024-03-09T10:52:00,48.7863,9.1982,290,5
2024-03-09T10:53:00,48.7865,9.1985,280,10
2024-03-09T10:54:00,48.7867,9.1988,270,15
2024-03-09T10:55:00,48.7869,9.1991,260,20
2024-03-09T10:56:00,48.7871,9.1994,250,25
2024-03-09T10:57:00,48.7873,9.1997,240,30
2024-03-09T10:58:00,48.7875,9.2000,230,35
2024-03-09T10:59:00,48.7877,9.2003,220,40
2024-03-09T11:00:00,48.7879,9.2006,210,45
2024-03-09T11:01:00,48.7881,9.2009,200,50
2024-03-09T11:02:00,48.7883,9.2012,190,55
2024-03-09T11:03:00,48.7885,9.2015,180,60
2024-03-09T11:04:00,48.7887,9.2018,170,65
2024-03-09T11:05:00,48.7889,9.2021,160,70
2024-03-09T11:06:00,48.7891,9.2024,150,75
2024-03-09T11:07:00,48.7893,9.2027,140,80
2024-03-09T11:08:00,48.7895,9.2030,130,85
2024-03-09T11:09:00,48.7897,9.2033,120,90
2024-03-09T11:10:00,48.7899,9.2036,110,95
2024-03-09T11:11:00,48.7901,9.2039,100,100
2024-03-09T11:12:00,48.7903,9.2042,90,105
2024-03-09T11:13:00,48.7905,9.2045,80,110
2024-03-09T11:14:00,48.7907,9.2048,70,115
2024-03-09T11:15:00,48.7909,9.2051,60,120
2024-03-09T11:16:00,48.7911,9.2054,50,125
2024-03-09T11:17:00,48.7913,9.2057,40,130
2024-03-09T11:18:00,48.7915,9.2060,30,135
2024-03-09T11:19:00,48.7917,9.2063,20,140
2024-03-09T11:20:00,48.7919,9.2066,10,145
